County,Hispanic
"Alcona County, Michigan",
"    Alcona County, Michigan",122
"Alger County, Michigan",
"    Alger County, Michigan",115
"Allegan County, Michigan",
"    Allegan County, Michigan","9,389"
"Alpena County, Michigan",
"    Alpena County, Michigan",417
"Antrim County, Michigan",
"    Antrim County, Michigan",459
"Arenac County, Michigan",
"    Arenac County, Michigan",270
"Baraga County, Michigan",
"    Baraga County, Michigan",102
"Barry County, Michigan",
"    Barry County, Michigan","2,142"
"Bay County, Michigan",
"    Bay County, Michigan","5,930"
"Benzie County, Michigan",
"    Benzie County, Michigan",391
"Berrien County, Michigan",
"    Berrien County, Michigan","9,210"
"Branch County, Michigan",
"    Branch County, Michigan","2,583"
"Calhoun County, Michigan",
"    Calhoun County, Michigan","7,426"
"Cass County, Michigan",
"    Cass County, Michigan","2,161"
"Charlevoix County, Michigan",
"    Charlevoix County, Michigan",425
"Cheboygan County, Michigan",
"    Cheboygan County, Michigan",341
"Chippewa County, Michigan",
"    Chippewa County, Michigan",757
"Clare County, Michigan",
"    Clare County, Michigan",621
"Clinton County, Michigan",
"    Clinton County, Michigan","3,940"
"Crawford County, Michigan",
"    Crawford County, Michigan",292
"Delta County, Michigan",
"    Delta County, Michigan",543
"Dickinson County, Michigan",
"    Dickinson County, Michigan",440
"Eaton County, Michigan",
"    Eaton County, Michigan","6,527"
"Emmet County, Michigan",
"    Emmet County, Michigan",592
"Genesee County, Michigan",
"    Genesee County, Michigan","16,259"
"Gladwin County, Michigan",
"    Gladwin County, Michigan",482
"Gogebic County, Michigan",
"    Gogebic County, Michigan",222
"Grand Traverse County, Michigan",
"    Grand Traverse County, Michigan","3,010"
"Gratiot County, Michigan",
"    Gratiot County, Michigan","3,153"
"Hillsdale County, Michigan",
"    Hillsdale County, Michigan","1,172"
"Houghton County, Michigan",
"    Houghton County, Michigan",669
"Huron County, Michigan",
"    Huron County, Michigan",840
"Ingham County, Michigan",
"    Ingham County, Michigan","24,422"
"Ionia County, Michigan",
"    Ionia County, Michigan","3,364"
"Iosco County, Michigan",
"    Iosco County, Michigan",610
"Iron County, Michigan",
"    Iron County, Michigan",206
"Isabella County, Michigan",
"    Isabella County, Michigan","3,006"
"Jackson County, Michigan",
"    Jackson County, Michigan","6,184"
"Kalamazoo County, Michigan",
"    Kalamazoo County, Michigan","14,776"
"Kalkaska County, Michigan",
"    Kalkaska County, Michigan",355
"Kent County, Michigan",
"    Kent County, Michigan","75,228"
"Keweenaw County, Michigan",
"    Keweenaw County, Michigan",27
"Lake County, Michigan",
"    Lake County, Michigan","1,195"
"Lapeer County, Michigan",
"    Lapeer County, Michigan","4,244"
"Leelanau County, Michigan",
"    Leelanau County, Michigan",917
"Lenawee County, Michigan",
"    Lenawee County, Michigan","8,494"
"Livingston County, Michigan",
"    Livingston County, Michigan","5,503"
"Luce County, Michigan",
"    Luce County, Michigan",74
"Mackinac County, Michigan",
"    Mackinac County, Michigan",167
"Macomb County, Michigan",
"    Macomb County, Michigan","26,214"
"Manistee County, Michigan",
"    Manistee County, Michigan",830
"Marquette County, Michigan",
"    Marquette County, Michigan","1,344"
"Mason County, Michigan",
"    Mason County, Michigan","1,290"
"Mecosta County, Michigan",
"    Mecosta County, Michigan","1,026"
"Menominee County, Michigan",
"    Menominee County, Michigan",486
"Midland County, Michigan",
"    Midland County, Michigan","2,659"
"Missaukee County, Michigan",
"    Missaukee County, Michigan",499
"Monroe County, Michigan",
"    Monroe County, Michigan","6,231"
"Montcalm County, Michigan",
"    Montcalm County, Michigan","2,697"
"Montmorency County, Michigan",
"    Montmorency County, Michigan",125
"Muskegon County, Michigan",
"    Muskegon County, Michigan","10,283"
"Newaygo County, Michigan",
"    Newaygo County, Michigan","2,969"
"Oakland County, Michigan",
"    Oakland County, Michigan","60,838"
"Oceana County, Michigan",
"    Oceana County, Michigan","4,108"
"Ogemaw County, Michigan",
"    Ogemaw County, Michigan",437
"Ontonagon County, Michigan",
"    Ontonagon County, Michigan",68
"Osceola County, Michigan",
"    Osceola County, Michigan",400
"Oscoda County, Michigan",
"    Oscoda County, Michigan",154
"Otsego County, Michigan",
"    Otsego County, Michigan",446
"Ottawa County, Michigan",
"    Ottawa County, Michigan","29,382"
"Presque Isle County, Michigan",
"    Presque Isle County, Michigan",154
"Roscommon County, Michigan",
"    Roscommon County, Michigan",434
"Saginaw County, Michigan",
"    Saginaw County, Michigan","16,904"
"St. Clair County, Michigan",
"    St. Clair County, Michigan","5,505"
"St. Joseph County, Michigan",
"    St. Joseph County, Michigan","5,427"
"Sanilac County, Michigan",
"    Sanilac County, Michigan","1,674"
"Schoolcraft County, Michigan",
"    Schoolcraft County, Michigan",96
"Shiawassee County, Michigan",
"    Shiawassee County, Michigan","2,024"
"Tuscola County, Michigan",
"    Tuscola County, Michigan","1,808"
"Van Buren County, Michigan",
"    Van Buren County, Michigan","8,966"
"Washtenaw County, Michigan",
"    Washtenaw County, Michigan","20,731"
"Wayne County, Michigan",
"    Wayne County, Michigan","117,649"
"Wexford County, Michigan",
"    Wexford County, Michigan",790
"Aitkin County, Minnesota",
"    Aitkin County, Minnesota",220
"Anoka County, Minnesota",
"    Anoka County, Minnesota","19,506"
"Becker County, Minnesota",
"    Becker County, Minnesota",575
"Beltrami County, Minnesota",
"    Beltrami County, Minnesota","1,108"
"Benton County, Minnesota",
"    Benton County, Minnesota","1,216"
"Big Stone County, Minnesota",
"    Big Stone County, Minnesota",140
"Blue Earth County, Minnesota",
"    Blue Earth County, Minnesota","3,221"
"Brown County, Minnesota",
"    Brown County, Minnesota","1,171"
"Carlton County, Minnesota",
"    Carlton County, Minnesota",612
"Carver County, Minnesota",
"    Carver County, Minnesota","5,308"
"Cass County, Minnesota",
"    Cass County, Minnesota",426
"Chippewa County, Minnesota",
"    Chippewa County, Minnesota","1,243"
"Chisago County, Minnesota",
"    Chisago County, Minnesota","1,451"
"Clay County, Minnesota",
"    Clay County, Minnesota","3,011"
"Clearwater County, Minnesota",
"    Clearwater County, Minnesota",101
"Cook County, Minnesota",
"    Cook County, Minnesota",123
"Cottonwood County, Minnesota",
"    Cottonwood County, Minnesota","1,115"
"Crow Wing County, Minnesota",
"    Crow Wing County, Minnesota",912
"Dakota County, Minnesota",
"    Dakota County, Minnesota","36,305"
"Dodge County, Minnesota",
"    Dodge County, Minnesota","1,057"
"Douglas County, Minnesota",
"    Douglas County, Minnesota",815
"Faribault County, Minnesota",
"    Faribault County, Minnesota","1,013"
"Fillmore County, Minnesota",
"    Fillmore County, Minnesota",341
"Freeborn County, Minnesota",
"    Freeborn County, Minnesota","3,183"
"Goodhue County, Minnesota",
"    Goodhue County, Minnesota","1,797"
"Grant County, Minnesota",
"    Grant County, Minnesota",135
"Hennepin County, Minnesota",
"    Hennepin County, Minnesota","98,250"
"Houston County, Minnesota",
"    Houston County, Minnesota",243
"Hubbard County, Minnesota",
"    Hubbard County, Minnesota",489
"Isanti County, Minnesota",
"    Isanti County, Minnesota",896
"Itasca County, Minnesota",
"    Itasca County, Minnesota",618
"Jackson County, Minnesota",
"    Jackson County, Minnesota",401
"Kanabec County, Minnesota",
"    Kanabec County, Minnesota",238
"Kandiyohi County, Minnesota",
"    Kandiyohi County, Minnesota","5,916"
"Kittson County, Minnesota",
"    Kittson County, Minnesota",83
"Koochiching County, Minnesota",
